State,Year,South,UnemPct,PresApprov
Colorado,1995,0,4,41
Colorado,1996,0,4.2,44
Colorado,1997,0,NA,NA
Colorado,1998,0,3.5,49
Colorado,1999,0,NA,NA
Colorado,2000,0,NA,NA
Colorado,2001,0,3.8,56
Colorado,2002,0,5.7,65
Colorado,2003,0,6.1,76
Colorado,2004,0,5.6,50
Colorado,2005,0,5.1,45
Colorado,2006,0,4.4,39
Colorado,2007,0,NA,NA
Colorado,2008,0,4.9,26
Connecticut,1977,0,NA,NA
Connecticut,1978,0,NA,NA
Connecticut,1979,0,NA,NA
Connecticut,1980,0,NA,NA
Connecticut,1981,0,NA,NA
Connecticut,1982,0,NA,NA
Connecticut,1983,0,NA,NA
Connecticut,1984,0,NA,NA
Connecticut,1985,0,NA,NA
Connecticut,1986,0,NA,NA
Connecticut,1987,0,NA,NA
Connecticut,1988,0,NA,NA
Connecticut,1989,0,NA,NA
Connecticut,1990,0,4.9,57
Connecticut,1991,0,6.5,57
Connecticut,1992,0,7.3,27
Connecticut,1993,0,6.4,45
Connecticut,1994,0,5.5,47
Connecticut,1995,0,5.3,33
Connecticut,1996,0,5.3,40
Connecticut,1997,0,NA,NA
Connecticut,1998,0,3.3,58
Connecticut,1999,0,NA,NA
Connecticut,2000,0,2.3,59
Connecticut,2001,0,3.1,87
Connecticut,2002,0,4.4,79
Connecticut,2003,0,5.5,60
Connecticut,2004,0,4.9,42
Connecticut,2005,0,4.9,40
Connecticut,2006,0,4.4,30
Connecticut,2007,0,4.6,24
Connecticut,2008,0,5.7,19
Delaware,1977,0,NA,NA
Delaware,1978,0,NA,NA
Delaware,1979,0,NA,NA
Delaware,1980,0,NA,NA
Delaware,1981,0,NA,NA
Delaware,1982,0,NA,NA
Delaware,1983,0,NA,NA
Delaware,1984,0,NA,NA
Delaware,1985,0,NA,NA
Delaware,1986,0,NA,NA
Delaware,1987,0,NA,NA
Delaware,1988,0,NA,NA
Delaware,1989,0,NA,NA
Delaware,1990,0,NA,NA
Delaware,1991,0,NA,NA
Delaware,1992,0,NA,NA
Delaware,1993,0,NA,NA
Delaware,1994,0,4.6,45
Delaware,1995,0,NA,NA
Delaware,1996,0,4.3,43
Delaware,1997,0,NA,NA
Delaware,1998,0,NA,NA
Delaware,1999,0,NA,NA
Delaware,2000,0,NA,NA
Delaware,2001,0,NA,NA
Delaware,2002,0,NA,NA
Delaware,2003,0,NA,NA
Delaware,2004,0,NA,NA
Delaware,2005,0,4,33
Delaware,2006,0,3.5,31
Delaware,2007,0,3.4,29
Delaware,2008,0,4.8,12
Florida,1977,1,NA,NA
Florida,1978,1,NA,NA
Florida,1979,1,6.1,40
Florida,1980,1,6.1,38
Florida,1981,1,6.8,37
Florida,1982,1,8.4,56
Florida,1983,1,8.5,43
Florida,1984,1,6.6,61
Florida,1985,1,6.2,64
Florida,1986,1,5.9,70
Florida,1987,1,5.4,62
Florida,1988,1,5.3,58
Florida,1989,1,NA,NA
Florida,1990,1,6.3,70
Florida,1991,1,7.6,59
Florida,1992,1,8.4,59
Florida,1993,1,7.2,32
Florida,1994,1,6.5,44
Florida,1995,1,5.7,32
Florida,1996,1,5.3,39
Florida,1997,1,5,42
Florida,1998,1,4.5,44
Florida,1999,1,NA,NA
Florida,2000,1,NA,NA
Florida,2001,1,4.7,56
Florida,2002,1,5.7,80
Florida,2003,1,5.3,54
Florida,2004,1,4.7,50
Florida,2005,1,3.8,40
Florida,2006,1,3.4,55
Florida,2007,1,4.1,34
Florida,2008,1,6.2,34
Georgia,1977,1,NA,NA
Georgia,1978,1,NA,NA
Georgia,1979,1,NA,NA
Georgia,1980,1,NA,NA
Georgia,1981,1,NA,NA
Georgia,1982,1,NA,NA
Georgia,1983,1,NA,NA
Georgia,1984,1,NA,NA
Georgia,1985,1,NA,NA
Georgia,1986,1,NA,NA
Georgia,1987,1,NA,NA
Georgia,1988,1,NA,NA
Georgia,1989,1,NA,NA
Georgia,1990,1,NA,NA
Georgia,1991,1,NA,NA
Georgia,1992,1,NA,NA
Georgia,1993,1,NA,NA
Georgia,1994,1,5.1,35
Georgia,1995,1,4.8,44
Georgia,1996,1,4.6,60
Georgia,1997,1,4.5,60
Georgia,1998,1,4.2,61
Georgia,1999,1,3.8,58
Georgia,2000,1,NA,NA
Georgia,2001,1,NA,NA
Georgia,2002,1,4.8,77
Georgia,2003,1,4.8,60
Georgia,2004,1,4.7,66
Georgia,2005,1,5.2,47
Georgia,2006,1,4.6,44
Georgia,2007,1,4.6,42
Georgia,2008,1,6.2,41
Hawaii,1977,0,NA,NA
Hawaii,1978,0,NA,NA
Hawaii,1979,0,NA,NA
Hawaii,1980,0,NA,NA
Hawaii,1981,0,NA,NA
Hawaii,1982,0,NA,NA
Hawaii,1983,0,NA,NA
Hawaii,1984,0,NA,NA
Hawaii,1985,0,NA,NA
Hawaii,1986,0,NA,NA
Hawaii,1987,0,NA,NA
Hawaii,1988,0,NA,NA
Hawaii,1989,0,NA,NA
Hawaii,1990,0,NA,NA
Hawaii,1991,0,NA,NA
Hawaii,1992,0,NA,NA
Hawaii,1993,0,NA,NA
Hawaii,1994,0,5.1,55
Hawaii,1995,0,5.5,38
Hawaii,1996,0,5.9,56
Hawaii,1997,0,5.8,56
Hawaii,1998,0,NA,NA
Hawaii,1999,0,NA,NA
Hawaii,2000,0,NA,NA
Hawaii,2001,0,NA,NA
Hawaii,2002,0,NA,NA
Hawaii,2003,0,NA,NA
Hawaii,2004,0,NA,NA
Hawaii,2005,0,2.7,41
Hawaii,2006,0,2.5,39
Hawaii,2007,0,NA,NA
Hawaii,2008,0,NA,NA
Idaho,1977,0,NA,NA
Idaho,1978,0,NA,NA
Idaho,1979,0,NA,NA
Idaho,1980,0,NA,NA
Idaho,1981,0,NA,NA
Idaho,1982,0,NA,NA
Idaho,1983,0,NA,NA
Idaho,1984,0,NA,NA
Idaho,1985,0,NA,NA
Idaho,1986,0,NA,NA
Idaho,1987,0,NA,NA
Idaho,1988,0,NA,NA
Idaho,1989,0,NA,NA
Idaho,1990,0,NA,NA
Idaho,1991,0,NA,NA
Idaho,1992,0,NA,NA
Idaho,1993,0,NA,NA
Idaho,1994,0,5.4,34
Idaho,1995,0,NA,NA
Idaho,1996,0,5.3,29
Idaho,1997,0,5.1,29
Idaho,1998,0,NA,NA
Idaho,1999,0,NA,NA
Idaho,2000,0,NA,NA
Idaho,2001,0,NA,NA
Idaho,2002,0,NA,NA
Idaho,2003,0,NA,NA
Idaho,2004,0,NA,NA
Idaho,2005,0,3.7,57
Idaho,2006,0,3,58
Idaho,2007,0,NA,NA
Idaho,2008,0,4.9,43
Illinois,1977,0,NA,NA
Illinois,1978,0,NA,NA
Illinois,1979,0,NA,NA
Illinois,1980,0,NA,NA
Illinois,1981,0,NA,NA
Illinois,1982,0,NA,NA
Illinois,1983,0,NA,NA
Illinois,1984,0,9.1,54
Illinois,1985,0,9.1,56
Illinois,1986,0,8.3,58
Illinois,1987,0,7.4,44
Illinois,1988,0,6.8,51
Illinois,1989,0,6.1,51
Illinois,1990,0,6.3,54
Illinois,1991,0,7.3,57
Illinois,1992,0,7.8,33
Illinois,1993,0,7.4,36
Illinois,1994,0,5.8,47
Illinois,1995,0,5.2,39
Illinois,1996,0,5.3,50
Illinois,1997,0,4.8,64
Illinois,1998,0,4.5,51
Illinois,1999,0,4.5,51
Illinois,2000,0,4.5,64
Illinois,2001,0,5.4,82
Illinois,2002,0,6.5,63
Illinois,2003,0,6.7,46
Illinois,2004,0,6.2,37
Illinois,2005,0,5.8,37
Illinois,2006,0,4.6,28
Illinois,2007,0,5.1,33
Illinois,2008,0,6.5,28
Indiana,1977,0,NA,NA
Indiana,1978,0,NA,NA
Indiana,1979,0,NA,NA
Indiana,1980,0,NA,NA
Indiana,1981,0,NA,NA
Indiana,1982,0,NA,NA
Indiana,1983,0,11.1,36
Indiana,1984,0,NA,NA
Indiana,1985,0,7.7,55
Indiana,1986,0,6.8,64
Indiana,1987,0,NA,NA
Indiana,1988,0,NA,NA
Indiana,1989,0,4.7,52
Indiana,1990,0,5,57
Indiana,1991,0,5.6,41
Indiana,1992,0,NA,NA
Indiana,1993,0,NA,NA
Indiana,1994,0,4.5,41
Indiana,1995,0,4.3,32
Indiana,1996,0,3.9,37
Indiana,1997,0,3.3,41
Indiana,1998,0,2.9,40
Indiana,1999,0,NA,NA
Indiana,2000,0,2.9,48
Indiana,2001,0,4.2,89
Indiana,2002,0,5.2,76
Indiana,2003,0,NA,NA
Indiana,2004,0,5.3,10
Indiana,2005,0,5.4,47
Indiana,2006,0,5,36
Indiana,2007,0,4.6,39
Indiana,2008,0,5.9,40
Iowa,1977,0,NA,NA
Iowa,1978,0,NA,NA
Iowa,1979,0,NA,NA
Iowa,1980,0,NA,NA
Iowa,1981,0,NA,NA
Iowa,1982,0,NA,NA
Iowa,1983,0,NA,NA
Iowa,1984,0,NA,NA
Iowa,1985,0,NA,NA
Iowa,1986,0,NA,NA
Iowa,1987,0,NA,NA
Iowa,1988,0,NA,NA
Iowa,1989,0,NA,NA
Iowa,1990,0,NA,NA
Iowa,1991,0,4.6,69
Iowa,1992,0,NA,NA
Iowa,1993,0,4.2,41
Iowa,1994,0,3.8,47
Iowa,1995,0,3.6,42
Iowa,1996,0,3.6,61
Iowa,1997,0,3.2,61
Iowa,1998,0,2.9,55
Iowa,1999,0,NA,NA
Iowa,2000,0,2.8,55
Iowa,2001,0,3.3,83
Iowa,2002,0,3.9,69
Iowa,2003,0,4.4,51
Iowa,2004,0,4.6,49
Iowa,2005,0,4.3,39
Iowa,2006,0,3.8,32
Iowa,2007,0,3.7,31
Iowa,2008,0,4.1,28
Kansas,1977,0,NA,NA
Kansas,1978,0,NA,NA
Kansas,1979,0,NA,NA
Kansas,1980,0,NA,NA
Kansas,1981,0,NA,NA
Kansas,1982,0,NA,NA
Kansas,1983,0,NA,NA
Kansas,1984,0,NA,NA
Kansas,1985,0,NA,NA
Kansas,1986,0,NA,NA
Kansas,1987,0,NA,NA
Kansas,1988,0,NA,NA
Kansas,1989,0,NA,NA
Kansas,1990,0,NA,NA
Kansas,1991,0,NA,NA
Kansas,1992,0,NA,NA
Kansas,1993,0,NA,NA
Kansas,1994,0,4.9,29
Kansas,1995,0,4.4,36
Kansas,1996,0,4.4,39
Kansas,1997,0,NA,NA
Kansas,1998,0,3.8,48
Kansas,1999,0,NA,NA
Kansas,2000,0,NA,NA
Kansas,2001,0,NA,NA
Kansas,2002,0,NA,NA
Kansas,2003,0,NA,NA
Kansas,2004,0,NA,NA
Kansas,2005,0,5.1,46
Kansas,2006,0,4.3,45
Kansas,2007,0,4.1,40
Kansas,2008,0,4.4,41
Kentucky,1977,1,NA,NA
Kentucky,1978,1,NA,NA
Kentucky,1979,1,NA,NA
Kentucky,1980,1,NA,NA
Kentucky,1981,1,NA,NA
Kentucky,1982,1,NA,NA
Kentucky,1983,1,NA,NA
Kentucky,1984,1,9.1,52
Kentucky,1985,1,9.1,49
Kentucky,1986,1,9.2,67
Kentucky,1987,1,8.3,44
Kentucky,1988,1,7.6,71
Kentucky,1989,1,6.5,50
Kentucky,1990,1,6.1,52
Kentucky,1991,1,7.4,54
Kentucky,1992,1,7,38
Kentucky,1993,1,6.4,36
Kentucky,1994,1,5.5,31
Kentucky,1995,1,5.6,42
Kentucky,1996,1,5.5,39
Kentucky,1997,1,5.4,47
Kentucky,1998,1,4.6,59
Kentucky,1999,1,NA,NA
Kentucky,2000,1,NA,NA
Kentucky,2001,1,5.2,91
Kentucky,2002,1,NA,NA
Kentucky,2003,1,6.3,65
Kentucky,2004,1,5.6,63
Kentucky,2005,1,6.1,42
Kentucky,2006,1,5.9,47
Kentucky,2007,1,5.5,35
Kentucky,2008,1,6.4,37
Louisiana,1977,1,NA,NA
Louisiana,1978,1,NA,NA
Louisiana,1979,1,NA,NA
Louisiana,1980,1,NA,NA
Louisiana,1981,1,NA,NA
Louisiana,1982,1,NA,NA
Louisiana,1983,1,NA,NA
Louisiana,1984,1,NA,NA
Louisiana,1985,1,NA,NA
Louisiana,1986,1,NA,NA
Louisiana,1987,1,NA,NA
Louisiana,1988,1,NA,NA
Louisiana,1989,1,NA,NA
Louisiana,1990,1,5.9,74
Louisiana,1991,1,6.9,76
Louisiana,1992,1,7.9,43
Louisiana,1993,1,7.4,33
Louisiana,1994,1,NA,NA
Louisiana,1995,1,6.7,38
Louisiana,1996,1,6.3,60
Louisiana,1997,1,NA,NA
Louisiana,1998,1,NA,NA
Louisiana,1999,1,4.7,65
Louisiana,2000,1,NA,NA
Louisiana,2001,1,NA,NA
Louisiana,2002,1,5.9,67
Louisiana,2003,1,6.2,65
Louisiana,2004,1,NA,NA
Louisiana,2005,1,6.7,51
Louisiana,2006,1,3.9,38
Louisiana,2007,1,NA,NA
Louisiana,2008,1,4.6,49
Maine,1977,0,NA,NA
Maine,1978,0,NA,NA
Maine,1979,0,NA,NA
Maine,1980,0,NA,NA
Maine,1981,0,NA,NA
Maine,1982,0,NA,NA
Maine,1983,0,NA,NA
Maine,1984,0,NA,NA
Maine,1985,0,NA,NA
Maine,1986,0,NA,NA
Maine,1987,0,NA,NA
Maine,1988,0,NA,NA
Maine,1989,0,NA,NA
Maine,1990,0,NA,NA
Maine,1991,0,NA,NA
Maine,1992,0,NA,NA
Maine,1993,0,NA,NA
Maine,1994,0,6.4,48
Maine,1995,0,NA,NA
Maine,1996,0,5.2,58
Maine,1997,0,NA,NA
Maine,1998,0,NA,NA
Maine,1999,0,NA,NA
Maine,2000,0,NA,NA
Maine,2001,0,NA,NA
Maine,2002,0,NA,NA
Maine,2003,0,5,41
Maine,2004,0,4.6,46
Maine,2005,0,4.9,35
Maine,2006,0,4.6,31
Maine,2007,0,4.6,29
Maine,2008,0,5.4,15
Maryland,1977,0,NA,NA
Maryland,1978,0,NA,NA
Maryland,1979,0,NA,NA
Maryland,1980,0,NA,NA
Maryland,1981,0,NA,NA
Maryland,1982,0,NA,NA
Maryland,1983,0,NA,NA
Maryland,1984,0,NA,NA
Maryland,1985,0,NA,NA
Maryland,1986,0,NA,NA
Maryland,1987,0,NA,NA
Maryland,1988,0,NA,NA
Maryland,1989,0,3.7,47
Maryland,1990,0,NA,NA
Maryland,1991,0,NA,NA
Maryland,1992,0,NA,NA
Maryland,1993,0,NA,NA
Maryland,1994,0,5.2,38
Maryland,1995,0,5.1,41
Maryland,1996,0,4.9,44
Maryland,1997,0,NA,NA
Maryland,1998,0,4.3,61
Maryland,1999,0,3.6,64
Maryland,2000,0,3.6,63
Maryland,2001,0,NA,NA
Maryland,2002,0,4.5,63
Maryland,2003,0,4.5,47
Maryland,2004,0,4.3,43
Maryland,2005,0,4.1,41
Maryland,2006,0,3.8,37
Maryland,2007,0,3.5,25
Maryland,2008,0,4.4,24
Massachusetts,1977,0,NA,NA
Massachusetts,1978,0,NA,NA
Massachusetts,1979,0,NA,NA
Massachusetts,1980,0,NA,NA
Massachusetts,1981,0,NA,NA
Massachusetts,1982,0,NA,NA
Massachusetts,1983,0,NA,NA
Massachusetts,1984,0,NA,NA
Massachusetts,1985,0,NA,NA
Massachusetts,1986,0,NA,NA
Massachusetts,1987,0,NA,NA
Massachusetts,1988,0,NA,NA
Massachusetts,1989,0,NA,NA
Massachusetts,1990,0,NA,NA
Massachusetts,1991,0,NA,NA
Massachusetts,1992,0,NA,NA
Massachusetts,1993,0,NA,NA
Massachusetts,1994,0,6.2,58
Massachusetts,1995,0,NA,NA
Massachusetts,1996,0,4.6,55
Massachusetts,1997,0,NA,NA
Massachusetts,1998,0,3.4,71
Massachusetts,1999,0,3.3,63
Massachusetts,2000,0,2.7,69
Massachusetts,2001,0,NA,NA
Massachusetts,2002,0,5.3,59
Massachusetts,2003,0,5.8,38
Massachusetts,2004,0,5.2,39
Massachusetts,2005,0,4.8,31
Massachusetts,2006,0,4.8,33
Massachusetts,2007,0,4.5,20
Massachusetts,2008,0,5.3,25
Michigan,1977,0,NA,NA
Michigan,1978,0,NA,NA
Michigan,1979,0,NA,NA
Michigan,1980,0,NA,NA
Michigan,1981,0,NA,NA
Michigan,1982,0,NA,NA
Michigan,1983,0,NA,NA
Michigan,1984,0,NA,NA
Michigan,1985,0,NA,NA
Michigan,1986,0,NA,NA
Michigan,1987,0,NA,NA
Michigan,1988,0,NA,NA
Michigan,1989,0,NA,NA
Michigan,1990,0,NA,NA
Michigan,1991,0,NA,NA
Michigan,1992,0,NA,NA
Michigan,1993,0,7.4,46
Michigan,1994,0,6.2,45
Michigan,1995,0,5.3,47
Michigan,1996,0,4.9,44
Michigan,1997,0,4.3,62
Michigan,1998,0,4,64
Michigan,1999,0,3.8,65
Michigan,2000,0,3.7,58
Michigan,2001,0,5.2,80
Michigan,2002,0,6.2,62
Michigan,2003,0,7.1,59
Michigan,2004,0,7.1,54
Michigan,2005,0,6.8,35
Michigan,2006,0,6.9,32
Michigan,2007,0,7.1,21
Michigan,2008,0,8.4,37
Minnesota,1977,0,NA,NA
Minnesota,1978,0,NA,NA
Minnesota,1979,0,NA,NA
Minnesota,1980,0,NA,NA
Minnesota,1981,0,NA,NA
Minnesota,1982,0,NA,NA
Minnesota,1983,0,NA,NA
Minnesota,1984,0,NA,NA
Minnesota,1985,0,NA,NA
Minnesota,1986,0,NA,NA
Minnesota,1987,0,NA,NA
Minnesota,1988,0,NA,NA
Minnesota,1989,0,NA,NA
Minnesota,1990,0,4.8,62
Minnesota,1991,0,5.2,73
Minnesota,1992,0,NA,NA
Minnesota,1993,0,NA,NA
Minnesota,1994,0,4.1,50
Minnesota,1995,0,3.7,41
Minnesota,1996,0,3.9,48
Minnesota,1997,0,NA,NA
Minnesota,1998,0,2.7,70
Minnesota,1999,0,2.8,71
Minnesota,2000,0,3.1,64
Minnesota,2001,0,3.8,53
Minnesota,2002,0,4.5,64
Minnesota,2003,0,4.9,61
Minnesota,2004,0,4.6,44
Minnesota,2005,0,4.2,34
Minnesota,2006,0,4.1,33
Minnesota,2007,0,4.6,29
Minnesota,2008,0,5.4,24
Mississippi,1977,1,NA,NA
Mississippi,1978,1,NA,NA
Mississippi,1979,1,NA,NA
Mississippi,1980,1,NA,NA
Mississippi,1981,1,8.7,57
Mississippi,1982,1,11.5,46
Mississippi,1983,1,NA,NA
Mississippi,1984,1,10.8,59
Mississippi,1985,1,NA,NA
Mississippi,1986,1,12.1,58
Mississippi,1987,1,NA,NA
Mississippi,1988,1,8.7,69
Mississippi,1989,1,NA,NA
Mississippi,1990,1,7.7,64
Mississippi,1991,1,NA,NA
Mississippi,1992,1,8.3,51
Mississippi,1993,1,NA,NA
Mississippi,1994,1,NA,NA
Mississippi,1995,1,6.5,30
Mississippi,1996,1,6.3,38
Mississippi,1997,1,NA,NA
Mississippi,1998,1,NA,NA
Mississippi,1999,1,NA,NA
Mississippi,2000,1,5.7,46
Mississippi,2001,1,NA,NA
Mississippi,2002,1,NA,NA
Mississippi,2003,1,NA,NA
Mississippi,2004,1,6.3,51
Mississippi,2005,1,7.8,49
Mississippi,2006,1,6.8,49
Mississippi,2007,1,NA,NA
Mississippi,2008,1,6.9,33
Missouri,1977,0,NA,NA
Missouri,1978,0,NA,NA
Missouri,1979,0,NA,NA
Missouri,1980,0,NA,NA
Missouri,1981,0,NA,NA
Missouri,1982,0,NA,NA
Missouri,1983,0,NA,NA
Missouri,1984,0,NA,NA
Missouri,1985,0,NA,NA
Missouri,1986,0,NA,NA
Missouri,1987,0,NA,NA
Missouri,1988,0,NA,NA
Missouri,1989,0,NA,NA
Missouri,1990,0,NA,NA
Missouri,1991,0,NA,NA
Missouri,1992,0,NA,NA
Missouri,1993,0,NA,NA
Missouri,1994,0,4.9,35
Missouri,1995,0,NA,NA
Missouri,1996,0,4.7,40
Missouri,1997,0,NA,NA
Missouri,1998,0,NA,NA
Missouri,1999,0,NA,NA
Missouri,2000,0,3.3,55
Missouri,2001,0,NA,NA
Missouri,2002,0,5.2,63
Missouri,2003,0,5.6,60
Missouri,2004,0,5.8,53
Missouri,2005,0,5.4,39
Missouri,2006,0,4.8,37
Missouri,2007,0,5.1,36
Missouri,2008,0,6.1,31
Montana,1977,0,NA,NA
Montana,1978,0,NA,NA
Montana,1979,0,NA,NA
Montana,1980,0,NA,NA
Montana,1981,0,NA,NA
Montana,1982,0,NA,NA
Montana,1983,0,NA,NA
Montana,1984,0,NA,NA
Montana,1985,0,NA,NA
Montana,1986,0,NA,NA
Montana,1987,0,NA,NA
Montana,1988,0,NA,NA
Montana,1989,0,NA,NA
Montana,1990,0,NA,NA
Montana,1991,0,NA,NA
Montana,1992,0,NA,NA
Montana,1993,0,NA,NA
Montana,1994,0,5.5,27
Montana,1995,0,5.4,35
Montana,1996,0,5.5,44
Montana,1997,0,5.3,39
Montana,1998,0,5.6,41
Montana,1999,0,5.3,41
Montana,2000,0,4.8,43
Montana,2001,0,4.5,84
Montana,2002,0,4.5,70
Montana,2003,0,4.3,60
Montana,2004,0,4,56
Montana,2005,0,3.7,50
Montana,2006,0,3.3,43
Montana,2007,0,3.4,32
Montana,2008,0,4.5,28
Nebraska,1977,0,NA,NA
Nebraska,1978,0,NA,NA
Nebraska,1979,0,NA,NA
Nebraska,1980,0,NA,NA
Nebraska,1981,0,NA,NA
Nebraska,1982,0,NA,NA
Nebraska,1983,0,NA,NA
Nebraska,1984,0,NA,NA
Nebraska,1985,0,NA,NA
Nebraska,1986,0,NA,NA
Nebraska,1987,0,NA,NA
Nebraska,1988,0,NA,NA
Nebraska,1989,0,NA,NA
Nebraska,1990,0,NA,NA
Nebraska,1991,0,2.6,71
Nebraska,1992,0,NA,NA
Nebraska,1993,0,NA,NA
Nebraska,1994,0,2.6,39
Nebraska,1995,0,2.6,40
Nebraska,1996,0,2.8,44
Nebraska,1997,0,NA,NA
Nebraska,1998,0,2.5,44
Nebraska,1999,0,NA,NA
Nebraska,2000,0,2.8,42
Nebraska,2001,0,NA,NA
Nebraska,2002,0,NA,NA
Nebraska,2003,0,NA,NA
Nebraska,2004,0,NA,NA
Nebraska,2005,0,3.9,60
Nebraska,2006,0,3,55
Nebraska,2007,0,2.9,41
Nebraska,2008,0,3.3,21
Nevada,1977,0,NA,NA
Nevada,1978,0,NA,NA
