Name,Code,Year,GDP,laborrate,healthexp,infmortality
Angola,AGO,2003,905.0791108053,82.4,23.5432760545,112.3
Angola,AGO,2004,1239.2460302577,82.3,25.5764565286,110
Angola,AGO,2005,1857.7430978923,82,36.1272031213,107.8
Angola,AGO,2006,2655.0422155779,81.7,63.828869889,105.6
Angola,AGO,2007,3449.3768033157,81.4,85.7585728232,103.6
Angola,AGO,2008,4666.741351875,81.2,147.7759417374,102
Angola,AGO,2009,4068.5757150165,81.3,203.8078736075,99.9
Angola,AGO,2010,4422.5428236299,NA,NA,97.9
Antigua and Barbuda,ATG,2000,8552.7719988711,NA,411.2554112554,12.8
Antigua and Barbuda,ATG,2001,8794.9452353389,NA,470.6985466479,12.1
Antigua and Barbuda,ATG,2002,8862.997263988,NA,479.1666666667,11.3
Antigua and Barbuda,ATG,2003,9216.1558826552,NA,463.1915866484,10.6
Antigua and Barbuda,ATG,2004,9843.2637424356,NA,463.4146341463,9.9
Antigua and Barbuda,ATG,2005,10329.5974928494,NA,494.708994709,9.3
Antigua and Barbuda,ATG,2006,11899.4427868522,NA,608.7145969499,8.8
Antigua and Barbuda,ATG,2007,13444.6575465428,NA,627.0456503015,8.2
Antigua and Barbuda,ATG,2008,13850.1492249723,NA,651.3409961686,7.7
Antigua and Barbuda,ATG,2009,12501.8665735278,NA,652.5316926746,7.3
Antigua and Barbuda,ATG,2010,11441.5678219083,NA,NA,6.8
Argentina,ARG,2000,7695.5940726727,60.9,688.9713382234,17.5
Argentina,ARG,2001,7203.2566534295,61.5,677.7793623806,17
Argentina,ARG,2002,2709.7063748682,62.1,225.2235294952,16.4
Argentina,ARG,2003,3410.3378079266,62.7,283.1480170458,15.8
Argentina,ARG,2004,3993.9064844522,63.3,332.144705881,15.3
Argentina,ARG,2005,4735.9836839684,63.9,399.8610148137,14.8
Argentina,ARG,2006,5485.5231146994,64.5,463.2047851635,14.2
Argentina,ARG,2007,6623.8636982938,64.3,560.7291761946,13.7
Argentina,ARG,2008,8225.6690818199,64.1,695.4618649328,13.2
Argentina,ARG,2009,7665.0734439345,65,730.173013751,12.7
Argentina,ARG,2010,9123.7386625704,NA,NA,12.3
Armenia,ARM,2000,621.4248263189,64.1,40.639422673,29.2
Armenia,ARM,2001,690.9977830912,64.3,47.2427332764,28
Armenia,ARM,2002,776.3093876742,64.7,44.1726256159,26.5
Armenia,ARM,2003,917.1741484355,64.9,52.033050866400004,25.2
Armenia,ARM,2004,1167.8316549456,65,67.7423233355,23.8
Armenia,ARM,2005,1598.3399485135,65.2,77.7122705954,22.7
Armenia,ARM,2006,2079.7336100622,65.3,86.9057953579,21.6
Armenia,ARM,2007,2994.7089904441,65.4,116.3296063727,20.4
Armenia,ARM,2008,3787.4921510457,65.6,142.8109436957,19.3
Armenia,ARM,2009,2768.6126273723,66.3,128.8576101972,18.4
Armenia,ARM,2010,2996.3062739742,NA,NA,17.5
Aruba,ABW,2000,20589.7718336198,NA,NA,NA
Aruba,ABW,2001,20558.9116609031,NA,NA,NA
Aruba,ABW,2002,20203.5306913877,NA,NA,NA
Aruba,ABW,2003,NA,NA,NA,NA
Aruba,ABW,2004,NA,NA,NA,NA
Aruba,ABW,2005,NA,NA,NA,NA
Aruba,ABW,2006,NA,NA,NA,NA
Aruba,ABW,2007,NA,NA,NA,NA
Aruba,ABW,2008,NA,NA,NA,NA
Aruba,ABW,2009,NA,NA,NA,NA
Aruba,ABW,2010,NA,NA,NA,NA
Australia,AUS,2000,21768.0425244159,63.3,1728.4619933243,5.1
Australia,AUS,2001,19596.5442117697,63.4,1644.8034795336,5.1
Australia,AUS,2002,20214.3069055717,63.4,1858.4904408007,5
Australia,AUS,2003,23546.5907195506,63.7,2339.2190552022,4.9
Australia,AUS,2004,30569.0749640256,63.5,2888.976962136,4.8
Australia,AUS,2005,34127.9972907797,64.5,3157.7543088506,4.7
Australia,AUS,2006,36202.5332086555,64.8,3352.9668532138,4.6
Australia,AUS,2007,40660.403928373,65.2,3975.5293738927,4.4
Australia,AUS,2008,48348.2612915708,65.3,4179.6479741801,4.3
Australia,AUS,2009,42130.8203246556,65.2,3867.4285290684,4.2
Australia,AUS,2010,NA,NA,NA,4.1
Austria,AUT,2000,23865.5505353862,58.3,2361.0200940013,4.6
Austria,AUT,2001,23642.2866742549,57.8,2373.7507414234,4.5
Austria,AUT,2002,25477.9977129472,58.8,2577.830657741,4.4
Austria,AUT,2003,31047.1109192535,58.7,3171.0651182965,4.3
Austria,AUT,2004,35357.7332357763,57.6,3647.4412726771,4.2
Austria,AUT,2005,36792.1899350721,59,3837.4089202422,4
Austria,AUT,2006,38918.5702680671,59.7,3979.4651498044,3.9
Austria,AUT,2007,44850.1166138431,60.6,4598.3469458912,3.8
Austria,AUT,2008,49739.0473357647,60.7,5200.8836701811,3.7
Austria,AUT,2009,45555.4345438633,60.4,5037.3108857138,3.6
Austria,AUT,2010,44862.6771118263,NA,NA,3.5
Azerbaijan,AZE,2000,655.1027405977,63.9,30.3553451738,55.8
Azerbaijan,AZE,2001,703.6761278357,64,31.2423872912,54
Azerbaijan,AZE,2002,763.1065446819,64,33.793179215,52.2
Azerbaijan,AZE,2003,883.6205159452,63.9,57.4066351679,50.6
Azerbaijan,AZE,2004,1045.0390216252,63.8,81.8923516272,48.8
Azerbaijan,AZE,2005,1578.3673303067,63.6,122.1983130691,47
Azerbaijan,AZE,2006,2472.9974757941,63.5,149.5858859802,45.5
Azerbaijan,AZE,2007,3851.3256636755,63.4,191.5429427596,43.8
Azerbaijan,AZE,2008,5278.5625236625,63.4,239.5619607129,42.5
Azerbaijan,AZE,2009,4808.1688373268,63,284.7252841652,41.1
Azerbaijan,AZE,2010,5646.832272935,NA,NA,39.4
"Bahamas, The",BHS,2000,18572.7596907085,72.6,1072.0542498327,13.8
"Bahamas, The",BHS,2001,18762.5250471246,72.7,1075.9123095884,13.7
"Bahamas, The",BHS,2002,19333.8481436369,72.9,1116.1148861065,13.7
"Bahamas, The",BHS,2003,19156.7423697464,73.1,1151.8492030737,13.7
"Bahamas, The",BHS,2004,19164.1345637863,73.3,1217.8296671675,13.7
"Bahamas, The",BHS,2005,20380.8105922176,73.4,1250.2734288593,13.8
"Bahamas, The",BHS,2006,21216.7583146643,73.4,1376.6072292301,13.8
"Bahamas, The",BHS,2007,21997.013935979,73.4,1433.3100635774,13.9
"Bahamas, The",BHS,2008,21872.2112743173,73.4,1481.0382239359,13.9
"Bahamas, The",BHS,2009,20916.2842344499,73.3,1557.655119179,14
"Bahamas, The",BHS,2010,21984.5600608965,NA,NA,14
Bahrain,BHR,2000,12489.4677538348,65.2,487.6899933828,10.5
Bahrain,BHR,2001,12340.5615625852,65.4,510.4258839062,10.3
Bahrain,BHR,2002,13224.7001114441,65.2,547.5795484549,10.1
Bahrain,BHR,2003,15062.0238199625,65,594.6772903748,9.9
Bahrain,BHR,2004,16725.7220754989,64.9,623.4378459474,9.7
Bahrain,BHR,2005,18570.7344019822,64.6,685.6010677331,9.5
Bahrain,BHR,2006,19539.9895867815,64.4,755.8714308022,9.4
Bahrain,BHR,2007,19955.1033492036,64.1,883.93967142,9.2
Bahrain,BHR,2008,20813.1375167254,63.9,1044.0281396696,9
Bahrain,BHR,2009,17608.8298050614,63.8,1107.9063148033,8.9
Bahrain,BHR,2010,NA,NA,NA,8.7
Bangladesh,BGD,2000,363.6399273192,70.6,9.0932469727,62.9
Bangladesh,BGD,2001,356.1180112293,70.7,9.454730544,59.6
Bangladesh,BGD,2002,354.3039818665,70.8,10.013626932,56.8
Bangladesh,BGD,2003,380.2787218253,70.9,10.5822980902,54.2
Bangladesh,BGD,2004,407.987855771,70.9,11.5949095419,51.5
Bangladesh,BGD,2005,428.7534812244,70.9,12.0748637139,49.1
Bangladesh,BGD,2006,434.84084551,70.8,13.1832220407,46.6
Bangladesh,BGD,2007,475.2496512598,70.7,15.0364533638,44.4
Bangladesh,BGD,2008,546.8468539826,70.6,16.5193837876,42.2
Bangladesh,BGD,2009,607.7649412769,70.7,18.4312546904,40
Bangladesh,BGD,2010,673.0411676147,NA,NA,38
Barbados,BRB,2000,9565.4012283607,70.5,639.7622150873,15.1
Barbados,BRB,2001,9523.7260380964,70.7,677.3935567041,15.2
Barbados,BRB,2002,9211.2577283352,70.6,717.7794567941,15.4
Barbados,BRB,2003,10003.6739343901,70.7,742.7913714751,15.6
Barbados,BRB,2004,10461.3127762116,71.4,780.6932809704,15.8
Barbados,BRB,2005,11108.9340968492,71.5,826.0579425155,16.1
Barbados,BRB,2006,11771.8455556293,71.5,893.2372287211,16.2
Barbados,BRB,2007,12551.4509347687,71.6,932.3728230594,16.6
Barbados,BRB,2008,13484.515072746,71.6,973.7346347809,16.7
Barbados,BRB,2009,13181.3415673694,71.7,1041.4409470655,17.1
Barbados,BRB,2010,11718.3927179866,NA,NA,17.3
Belarus,BLR,2000,1273.0491239487,58.8,66.4347141737,10.6
Belarus,BLR,2001,1239.1672910597,58.9,84.8675122964,9.8
Belarus,BLR,2002,1470.5214501732,59,96.8411255479,9
Belarus,BLR,2003,1805.2960471983,59.1,121.9581511251,8.3
Belarus,BLR,2004,2355.5050817166,59.2,158.8201444012,7.6
Belarus,BLR,2005,3090.3594790986,59.3,209.5834557846,6.9
Belarus,BLR,2006,3797.782569611,59.4,235.0480909528,6.2
Belarus,BLR,2007,4666.6369816352,59.6,289.5184812466,5.6
Belarus,BLR,2008,6328.211117066,59.8,350.8132629219,5
Belarus,BLR,2009,5182.6304041439,60.2,294.6147685032,4.5
Belarus,BLR,2010,5765.0417128991,NA,NA,4
Belgium,BEL,2000,22665.965270539,52.1,2025.2752672853,4.7
Belgium,BEL,2001,22567.7855393604,50.7,2047.7371746441,4.5
Belgium,BEL,2002,24431.6728018166,51,2274.442680375,4.3
Belgium,BEL,2003,29991.1222792889,51.2,3013.8230995751,4.2
Belgium,BEL,2004,34651.6468423573,51.9,3609.7803439071,4.1
Belgium,BEL,2005,35941.4485831708,53.3,3699.871541769,4
Belgium,BEL,2006,37838.0187957614,53.1,3727.4168077853,3.9
Belgium,BEL,2007,43161.3660153069,53.7,4635.9176314588,3.8
Belgium,BEL,2008,47187.2070732376,53.7,5242.5875700356,3.7
Belgium,BEL,2009,43640.1961843332,53.5,5104.0189861505,3.6
Belgium,BEL,2010,42969.4540891266,NA,NA,3.5
Belize,BLZ,2000,3330.954622309,60.9,122.8550072361,22.7
Belize,BLZ,2001,3388.4211247445,61.3,124.601791888,21.6
Belize,BLZ,2002,3516.8793483449,61.7,129.358399618,20.7
Belize,BLZ,2003,3610.5191388714,62.2,134.3840729988,19.8
Belize,BLZ,2004,3737.8050470353,62.6,129.7806391808,18.9
Belize,BLZ,2005,3820.6806298036,63,139.7838416114,18.2
Belize,BLZ,2006,4025.0855382598,63.3,148.9398956365,17.1
Belize,BLZ,2007,4098.7212068852,63.6,192.8598563814,16.4
Belize,BLZ,2008,4218.2552002484,63.8,201.667455654,15.6
Belize,BLZ,2009,4056.1224489796,64.1,217.1521439296,14.9
Belize,BLZ,2010,4152.8865680302,NA,NA,14.2
Benin,BEN,2000,345.9503551827,72.5,15.2668929634,88.6
Benin,BEN,2001,352.8741360718,72.3,16.8328292938,86.9
Benin,BEN,2002,404.6358345967,72.1,16.8723016021,85.4
Benin,BEN,2003,496.5799581813,72.3,22.3865416071,83.7
Benin,BEN,2004,547.1000615124,72.4,24.2814774133,82.1
Benin,BEN,2005,561.6453188207,72.6,26.2216236391,80.5
Benin,BEN,2006,601.5009282599,72.7,27.4985290328,79
Benin,BEN,2007,683.6521297287,72.7,29.9663335885,77.5
Benin,BEN,2008,799.7559728647,72.8,32.1368959031,76.2
Benin,BEN,2009,771.7087701577,72.7,31.928850264,74.7
Benin,BEN,2010,749.5069821775,NA,NA,73.2
Bermuda,BMU,2000,56459.1588739921,NA,NA,NA
Bermuda,BMU,2001,58610.1504963176,NA,NA,NA
Bermuda,BMU,2002,62467.7131474104,NA,NA,NA
Bermuda,BMU,2003,66130.1237309645,NA,NA,NA
Bermuda,BMU,2004,70508.1490840177,NA,NA,NA
Bermuda,BMU,2005,76233.2389491899,NA,NA,NA
Bermuda,BMU,2006,84441.6457680251,NA,NA,NA
Bermuda,BMU,2007,91574.140625,NA,NA,NA
Bermuda,BMU,2008,94515.5451713396,NA,NA,NA
Bermuda,BMU,2009,88746.8944099379,NA,NA,NA
Bermuda,BMU,2010,NA,NA,NA,NA
Bhutan,BTN,2000,748.8837298946,54.7,52.5607382566,65
Bhutan,BTN,2001,774.9500652949,55.9,50.9561045028,62.6
Bhutan,BTN,2002,837.0473242595,57.3,70.9597149571,60.1
Bhutan,BTN,2003,978.4428155214,58.6,51.1269323328,57.7
Bhutan,BTN,2004,1093.9353103058,59.7,48.8977640909,55.7
Bhutan,BTN,2005,1242.0413167007,60.5,58.3153129096,53.4
Bhutan,BTN,2006,1330.6014621028,60.9,70.519942186,51.3
Bhutan,BTN,2007,1737.0176380609,61,92.0513509533,49.3
Bhutan,BTN,2008,1793.115768462,60.9,100.125865431,47.5
Bhutan,BTN,2009,1772.2838031282,62.7,97.9891181712,45.6
Bhutan,BTN,2010,2088.4345887475,NA,NA,43.7
Bolivia,BOL,2000,1010.9073673768,70.7,61.3445684028,60
Bolivia,BOL,2001,960.4568503112,71,60.5339242238,57.9
Bolivia,BOL,2002,914.2820539199,71.1,59.5936313691,56
Bolivia,BOL,2003,916.7965141934,71.3,52.2320418237,53.9
Bolivia,BOL,2004,976.6818232254,71.4,55.260823244,52.1
Bolivia,BOL,2005,1044.0096736672,71.4,57.5422836496,50.1
Bolivia,BOL,2006,1230.441153534,71.5,62.903921,48.2
Bolivia,BOL,2007,1386.4343638678,71.8,64.9244784697,46.6
Bolivia,BOL,2008,1733.6460690437,71.9,74.9856758922,45
Bolivia,BOL,2009,1774.1952083435,71.9,84.7876341115,43.4
Bolivia,BOL,2010,1992.5944672038,NA,NA,41.7
Bosnia and Herzegovina,BIH,2000,1490.6428343515,62.4,105.6397566672,8.1
Bosnia and Herzegovina,BIH,2001,1533.7308096051,62.2,110.5373639473,7.9
Bosnia and Herzegovina,BIH,2002,1761.5021914128,61.9,124.4995620963,7.7
Bosnia and Herzegovina,BIH,2003,2212.7006054621,61.7,177.9025919269,7.6
Bosnia and Herzegovina,BIH,2004,2650.5928914746,61.5,242.8315996651,7.6
Bosnia and Herzegovina,BIH,2005,2846.7508339008,61.4,262.7807787552,7.6
Bosnia and Herzegovina,BIH,2006,3240.5467761844,61.3,305.4310094346,7.6
Bosnia and Herzegovina,BIH,2007,4029.2656748804,61.2,393.8457717252,7.6
Bosnia and Herzegovina,BIH,2008,4901.9065311349,61.1,505.7449978712,7.6
Bosnia and Herzegovina,BIH,2009,4523.3114303405,61.2,494.8795136377,7.5
Bosnia and Herzegovina,BIH,2010,4491.2076676513,NA,NA,7.5
Botswana,BWA,2000,3203.9996757585,74.9,154.9226855851,63.9
Botswana,BWA,2001,3381.3780458655,75.1,182.8198648778,63.1
Botswana,BWA,2002,3368.8928653448,75.2,205.4023899621,61.1
Botswana,BWA,2003,4418.6591069476,75.4,268.5619224705,57.8
Botswana,BWA,2004,5425.1309627016,75.5,453.8681122795,45.8
Botswana,BWA,2005,5467.6101392877,75.7,420.1292453125,43
Botswana,BWA,2006,5920.9563698589,75.9,396.7510390479,40
Botswana,BWA,2007,6420.844967964,76,501.2392430393,39.4
Botswana,BWA,2008,6892.3644774543,76.3,529.7889823249,39
Botswana,BWA,2009,5790.1819315969,76.6,611.9234232546,37.1
Botswana,BWA,2010,7402.9309869979,NA,NA,36.1
Brazil,BRA,2000,3696.1467719226,68,265.1910082866,31.2
Brazil,BRA,2001,3129.7554564427,67.8,228.0304922289,29.4
Brazil,BRA,2002,2812.3342233721,68.6,203.2523097538,27.8
Brazil,BRA,2003,3041.6777963456,68.7,213.7615179146,26.2
Brazil,BRA,2004,3609.8755068821,69.4,257.4081679708,24.8
Brazil,BRA,2005,4743.2641123219,70.1,387.265853091,23.3
Brazil,BRA,2006,5793.4009566188,70.8,491.0523147738,22
Brazil,BRA,2007,7197.0313056522,70.3,606.5779084885,20.8
Brazil,BRA,2008,8627.98527952,70.7,720.5035236731,19.6
Brazil,BRA,2009,8251.0615582027,70.7,734.0513822568,18.4
Brazil,BRA,2010,10710.0659674509,NA,NA,17.3
Brunei Darussalam,BRN,2000,18350.1306212938,67.5,540.6989651093,7.2
Brunei Darussalam,BRN,2001,16752.2778194014,67.6,522.2464029365,7.1
Brunei Darussalam,BRN,2002,17106.5155143727,67.6,523.0751950894,6.9
Brunei Darussalam,BRN,2003,18801.2566050103,67.6,571.8184115331,6.7
Brunei Darussalam,BRN,2004,22116.8366768128,67.6,592.6160282108,6.6
Brunei Darussalam,BRN,2005,26248.4139805206,67.6,640.0780722121,6.4
Brunei Darussalam,BRN,2006,30975.3616552222,67.6,697.8064414424,6.3
Brunei Darussalam,BRN,2007,32442.9301630197,67.5,732.3166342707,6.2
Brunei Darussalam,BRN,2008,37414.3128155706,67.4,833.736236337,6
Brunei Darussalam,BRN,2009,27390.050030207,67.5,790.7287119618,5.9
Brunei Darussalam,BRN,2010,NA,NA,NA,5.8
Bulgaria,BGR,2000,1600.9362997629,52.4,94.9833913099,17
Bulgaria,BGR,2001,1753.2996981034,51.6,123.7534947278,16.4
Bulgaria,BGR,2002,2030.6512145774,51.2,148.5755577965,15.6
Bulgaria,BGR,2003,2641.9757978225,50.3,195.8499224965,14.8
Bulgaria,BGR,2004,3249.2874438552,51.2,238.6415475586,14
Bulgaria,BGR,2005,3733.263160997,50.5,273.5994776487,13.3
Bulgaria,BGR,2006,4313.4306347149,52.6,298.1705722506,12.7
Bulgaria,BGR,2007,5498.03568628,54.1,363.9417802762,12.1
Bulgaria,BGR,2008,6798.1349027102,55.6,481.5331406773,11.6
Bulgaria,BGR,2009,6403.1476861133,54.5,474.8463716128,11.1
Bulgaria,BGR,2010,6325.3923412823,NA,NA,10.7
Burkina Faso,BFA,2000,212.3753863832,84,11.4727701658,98.1
Burkina Faso,BFA,2001,222.3857060677,84,11.5327682867,97.5
Burkina Faso,BFA,2002,252.7495748312,84.1,13.2497365806,96.9
Burkina Faso,BFA,2003,318.7901980737,84.2,18.3478699567,96.4
Burkina Faso,BFA,2004,370.4917792887,84.2,23.4901667682,95.8
Burkina Faso,BFA,2005,382.2553237844,84.3,27.3163742951,95.4
Burkina Faso,BFA,2006,394.68710285,84.3,26.8910294212,94.7
Burkina Faso,BFA,2007,449.3014580387,84.3,30.4925343293,94.4
Burkina Faso,BFA,2008,518.5748767628,84.2,37.1871322437,93.9
Burkina Faso,BFA,2009,509.2977848041,84.4,38.0754642452,93.3
Burkina Faso,BFA,2010,535.5799289194,NA,NA,92.6
Burundi,BDI,2000,111.2368686967,90.2,7.1342160047,99.7
Burundi,BDI,2001,101.9087156215,90.1,6.6311104022,98.5
Burundi,BDI,2002,94.3644016504,89.8,6.3763063931,96.9
Burundi,BDI,2003,87.0044607531,89.7,6.5465228222,96.4
Burundi,BDI,2004,94.394588998,89.5,9.1192765273,95.2
Burundi,BDI,2005,109.7553908106,89.4,11.5760268311,94.3
Burundi,BDI,2006,122.9299875914,89.4,15.6583189964,92.5
Burundi,BDI,2007,127.116351891,89.4,17.3491858273,91.4
Burundi,BDI,2008,147.1539112359,89.4,18.7069302134,89.7
Burundi,BDI,2009,162.8704077235,89.3,19.7889136127,88.5
Burundi,BDI,2010,192.1238139995,NA,NA,87.8
Cambodia,KHM,2000,293.5684653546,79.6,16.5443343828,77.3
Cambodia,KHM,2001,314.5181583355,79.8,18.7112686707,73.2
Cambodia,KHM,2002,333.5114129089,80.1,20.2849379341,69.2
Cambodia,KHM,2003,357.6616820109,80.4,23.6462583163,65.5
Cambodia,KHM,2004,404.5663963949,80.7,25.5408266683,61.9
Cambodia,KHM,2005,471.1219389175,79.9,28.9414543452,58.3
Cambodia,KHM,2006,538.2130032018,79.3,30.4789120548,55
Cambodia,KHM,2007,631.9864880106,78.7,35.8118165835,51.5
Cambodia,KHM,2008,748.9036877171,78.5,42.7888621676,48.5
Cambodia,KHM,2009,748.1511500052,79.3,42.1033535509,45.6
Cambodia,KHM,2010,802.3224943934,NA,NA,42.9
Cameroon,CMR,2000,642.6117788107,66.2,26.7284335564,90.8
Cameroon,CMR,2001,598.4028420336,66.2,28.4483717494,90.3
Cameroon,CMR,2002,663.0742142449,66.3,32.509869856,89.6
Cameroon,CMR,2003,811.625599529,66.4,40.7017176109,88.8
Cameroon,CMR,2004,919.0277851204,66.4,43.9109041402,88.2
Cameroon,CMR,2005,944.9841703694,66.6,45.3647176449,87.5
Cameroon,CMR,2006,1000.4786227868,66.7,47.5415907667,87
Cameroon,CMR,2007,1127.2968434078,66.8,53.8629506831,86.4
Cameroon,CMR,2008,1265.3016539298,66.9,65.0023511293,85.7
Cameroon,CMR,2009,1157.024518928,67,61.0538461513,85.2
Cameroon,CMR,2010,1142.5917702558,NA,NA,84.4
Canada,CAN,2000,23559.5036897592,65.3,2082.266758896,5.3
Canada,CAN,2001,23017.3687489828,65.4,2147.2446864819,5.3
Canada,CAN,2002,23425.2264265171,66.4,2251.4389731444,5.3
Canada,CAN,2003,27335.308828525,67.1,2907.4761958051,5.3
Canada,CAN,2004,31011.9352445571,67,3099.9098986536,5.3
Canada,CAN,2005,35087.8925933298,66.7,3297.8076964895,5.2
Canada,CAN,2006,39162.3279930413,66.7,3739.6192447814,5.2
Canada,CAN,2007,43184.9141632675,67.1,4163.2709769473,5.2
Canada,CAN,2008,45002.8462407977,67.3,4445.4629916112,5.2
Canada,CAN,2009,39599.0418054439,67.8,4379.760838202,5.2
Canada,CAN,2010,46148.0444934646,NA,NA,5.2
Cape Verde,CPV,2000,1215.3244500704,62.6,56.9512942301,36.7
Cape Verde,CPV,2001,1236.1369905689,63,63.3226062164,35.8
Cape Verde,CPV,2002,1361.0664042899,63.3,68.3324116683,35.1
Cape Verde,CPV,2003,1733.1751766591,63.7,80.4762458816,34.1
Cape Verde,CPV,2004,1980.8833488084,64.2,100.2413072438,33.6
Cape Verde,CPV,2005,2113.2767036259,64.6,96.9406005171,32.7
Cape Verde,CPV,2006,2316.4618973993,64.9,120.3619853955,31.8
Cape Verde,CPV,2007,2756.0075060425,65.4,134.8978767753,31.1
Cape Verde,CPV,2008,3181.4621541641,65.8,152.2985751405,30.7
Cape Verde,CPV,2009,3227.9520327612,66.4,146.105125861,29.9
Cape Verde,CPV,2010,3322.7672631941,NA,NA,29.2
Cayman Islands,CYM,2000,NA,NA,NA,NA
Cayman Islands,CYM,2001,NA,NA,NA,NA
Cayman Islands,CYM,2002,NA,NA,NA,NA
Cayman Islands,CYM,2003,NA,NA,NA,NA
Cayman Islands,CYM,2004,NA,NA,NA,NA
Cayman Islands,CYM,2005,NA,NA,NA,NA
Cayman Islands,CYM,2006,NA,NA,NA,NA
Cayman Islands,CYM,2007,NA,NA,NA,NA
Cayman Islands,CYM,2008,NA,NA,NA,NA
Cayman Islands,CYM,2009,NA,NA,NA,NA
Cayman Islands,CYM,2010,NA,NA,NA,NA
Central African Republic,CAF,2000,259.1882527206,78.3,9.8523232382,114.7
Central African Republic,CAF,2001,256.8380555401,78.4,9.7114986586,114
Central African Republic,CAF,2002,272.1103359157,78.4,10.5045146373,113.3
Central African Republic,CAF,2003,292.8508137263,78.6,11.6508745364,112.5
Central African Republic,CAF,2004,321.2377178524,78.7,12.6688565874,111.7
Central African Republic,CAF,2005,336.0098571861,78.7,14.0458128576,110.8
Central African Republic,CAF,2006,361.3107751542,78.7,14.0058001513,109.9
Central African Republic,CAF,2007,407.682026954,78.7,16.4733965863,108.5
Central African Republic,CAF,2008,467.9098875048,78.7,19.837719824,107.8
Central African Republic,CAF,2009,458.5672053487,79,19.3379156414,106.8
Central African Republic,CAF,2010,457.3941404257,NA,NA,106
Chad,TCD,2000,168.449997663,72.3,10.3473525801,105.4
Chad,TCD,2001,200.6756906971,72,11.8254531647,104.7
Chad,TCD,2002,225.0967092349,71.8,18.4496112431,104.1
